2011-12-26 10:27:19 Notice: Notice (8): Undefined index:  Status in [/home/httpd/vhosts/h8si.com.br/httpdocs/clientes/mediaclipping/app/views/elements/email/text/clipp.ctp, line 5]
2011-12-26 10:27:19 Notice: Notice (8): Undefined index:  PublisherType in [/home/httpd/vhosts/h8si.com.br/httpdocs/clientes/mediaclipping/app/views/elements/email/text/clipp.ctp, line 6]
2011-12-26 10:27:19 Notice: Notice (8): Undefined index:  Publisher in [/home/httpd/vhosts/h8si.com.br/httpdocs/clientes/mediaclipping/app/views/elements/email/text/clipp.ctp, line 7]
2011-12-26 10:27:19 Notice: Notice (8): Undefined index:  Section in [/home/httpd/vhosts/h8si.com.br/httpdocs/clientes/mediaclipping/app/views/elements/email/text/clipp.ctp, line 8]
2011-12-26 10:27:19 Notice: Notice (8): Undefined index:  Subject in [/home/httpd/vhosts/h8si.com.br/httpdocs/clientes/mediaclipping/app/views/elements/email/text/clipp.ctp, line 9]
2011-12-26 10:27:19 Notice: Notice (8): Undefined index:  Clipp in [/home/httpd/vhosts/h8si.com.br/httpdocs/clientes/mediaclipping/app/views/elements/email/text/clipp.ctp, line 10]
2011-12-26 10:27:19 Notice: Notice (8): Undefined index:  Clipp in [/home/httpd/vhosts/h8si.com.br/httpdocs/clientes/mediaclipping/app/plugins/clipping/controllers/clipps_controller.php, line 373]
2011-12-26 10:36:51 Notice: Notice (8): Undefined index:  Clipp in [/home/httpd/vhosts/h8si.com.br/httpdocs/clientes/mediaclipping/app/plugins/clipping/controllers/clipps_controller.php, line 349]
2011-12-26 10:36:51 Notice: Notice (8): Undefined index:  Clipp in [/home/httpd/vhosts/h8si.com.br/httpdocs/clientes/mediaclipping/app/views/elements/email/text/clipp.ctp, line 1]
2011-12-26 10:36:51 Notice: Notice (8): Undefined index:  Clipp in [/home/httpd/vhosts/h8si.com.br/httpdocs/clientes/mediaclipping/app/views/elements/email/text/clipp.ctp, line 2]
2011-12-26 10:36:51 Notice: Notice (8): Undefined index:  Clipp in [/home/httpd/vhosts/h8si.com.br/httpdocs/clientes/mediaclipping/app/views/elements/email/text/clipp.ctp, line 3]
2011-12-26 10:36:51 Notice: Notice (8): Undefined index:  Evaluation in [/home/httpd/vhosts/h8si.com.br/httpdocs/clientes/mediaclipping/app/views/elements/email/text/clipp.ctp, line 4]
2011-12-26 10:36:51 Notice: Notice (8): Undefined index:  Status in [/home/httpd/vhosts/h8si.com.br/httpdocs/clientes/mediaclipping/app/views/elements/email/text/clipp.ctp, line 5]
2011-12-26 10:36:51 Notice: Notice (8): Undefined index:  PublisherType in [/home/httpd/vhosts/h8si.com.br/httpdocs/clientes/mediaclipping/app/views/elements/email/text/clipp.ctp, line 6]
2011-12-26 10:36:51 Notice: Notice (8): Undefined index:  Publisher in [/home/httpd/vhosts/h8si.com.br/httpdocs/clientes/mediaclipping/app/views/elements/email/text/clipp.ctp, line 7]
2011-12-26 10:36:51 Notice: Notice (8): Undefined index:  Section in [/home/httpd/vhosts/h8si.com.br/httpdocs/clientes/mediaclipping/app/views/elements/email/text/clipp.ctp, line 8]
2011-12-26 10:36:51 Notice: Notice (8): Undefined index:  Subject in [/home/httpd/vhosts/h8si.com.br/httpdocs/clientes/mediaclipping/app/views/elements/email/text/clipp.ctp, line 9]
2011-12-26 10:36:51 Notice: Notice (8): Undefined index:  Clipp in [/home/httpd/vhosts/h8si.com.br/httpdocs/clientes/mediaclipping/app/views/elements/email/text/clipp.ctp, line 10]
2011-12-26 10:38:39 Notice: Notice (8): Undefined index:  Clipp in [/home/httpd/vhosts/h8si.com.br/httpdocs/clientes/mediaclipping/app/plugins/clipping/controllers/clipps_controller.php, line 349]
2011-12-26 10:38:39 Notice: Notice (8): Undefined index:  Clipp in [/home/httpd/vhosts/h8si.com.br/httpdocs/clientes/mediaclipping/app/views/elements/email/text/clipp.ctp, line 1]
2011-12-26 10:38:39 Notice: Notice (8): Undefined index:  Clipp in [/home/httpd/vhosts/h8si.com.br/httpdocs/clientes/mediaclipping/app/views/elements/email/text/clipp.ctp, line 2]
2011-12-26 10:38:39 Notice: Notice (8): Undefined index:  Clipp in [/home/httpd/vhosts/h8si.com.br/httpdocs/clientes/mediaclipping/app/views/elements/email/text/clipp.ctp, line 3]
2011-12-26 10:38:39 Notice: Notice (8): Undefined index:  Evaluation in [/home/httpd/vhosts/h8si.com.br/httpdocs/clientes/mediaclipping/app/views/elements/email/text/clipp.ctp, line 4]
2011-12-26 10:38:39 Notice: Notice (8): Undefined index:  Status in [/home/httpd/vhosts/h8si.com.br/httpdocs/clientes/mediaclipping/app/views/elements/email/text/clipp.ctp, line 5]
2011-12-26 10:38:39 Notice: Notice (8): Undefined index:  PublisherType in [/home/httpd/vhosts/h8si.com.br/httpdocs/clientes/mediaclipping/app/views/elements/email/text/clipp.ctp, line 6]
2011-12-26 10:38:39 Notice: Notice (8): Undefined index:  Publisher in [/home/httpd/vhosts/h8si.com.br/httpdocs/clientes/mediaclipping/app/views/elements/email/text/clipp.ctp, line 7]
2011-12-26 10:38:39 Notice: Notice (8): Undefined index:  Section in [/home/httpd/vhosts/h8si.com.br/httpdocs/clientes/mediaclipping/app/views/elements/email/text/clipp.ctp, line 8]
2011-12-26 10:38:39 Notice: Notice (8): Undefined index:  Subject in [/home/httpd/vhosts/h8si.com.br/httpdocs/clientes/mediaclipping/app/views/elements/email/text/clipp.ctp, line 9]
2011-12-26 10:38:39 Notice: Notice (8): Undefined index:  Clipp in [/home/httpd/vhosts/h8si.com.br/httpdocs/clientes/mediaclipping/app/views/elements/email/text/clipp.ctp, line 10]
2011-12-26 10:38:39 Notice: Notice (8): Undefined index:  Clipp in [/home/httpd/vhosts/h8si.com.br/httpdocs/clientes/mediaclipping/app/plugins/clipping/controllers/clipps_controller.php, line 374]
2011-12-26 10:40:07 Notice: Notice (8): Undefined index:  Clipp in [/home/httpd/vhosts/h8si.com.br/httpdocs/clientes/mediaclipping/app/views/elements/email/text/clipp.ctp, line 1]
2011-12-26 10:40:07 Notice: Notice (8): Undefined index:  Clipp in [/home/httpd/vhosts/h8si.com.br/httpdocs/clientes/mediaclipping/app/views/elements/email/text/clipp.ctp, line 2]
2011-12-26 10:40:07 Notice: Notice (8): Undefined index:  Clipp in [/home/httpd/vhosts/h8si.com.br/httpdocs/clientes/mediaclipping/app/views/elements/email/text/clipp.ctp, line 3]
2011-12-26 10:40:07 Notice: Notice (8): Undefined index:  Evaluation in [/home/httpd/vhosts/h8si.com.br/httpdocs/clientes/mediaclipping/app/views/elements/email/text/clipp.ctp, line 4]
2011-12-26 10:40:07 Notice: Notice (8): Undefined index:  Status in [/home/httpd/vhosts/h8si.com.br/httpdocs/clientes/mediaclipping/app/views/elements/email/text/clipp.ctp, line 5]
2011-12-26 10:40:07 Notice: Notice (8): Undefined index:  PublisherType in [/home/httpd/vhosts/h8si.com.br/httpdocs/clientes/mediaclipping/app/views/elements/email/text/clipp.ctp, line 6]
2011-12-26 10:40:07 Notice: Notice (8): Undefined index:  Publisher in [/home/httpd/vhosts/h8si.com.br/httpdocs/clientes/mediaclipping/app/views/elements/email/text/clipp.ctp, line 7]
2011-12-26 10:40:07 Notice: Notice (8): Undefined index:  Section in [/home/httpd/vhosts/h8si.com.br/httpdocs/clientes/mediaclipping/app/views/elements/email/text/clipp.ctp, line 8]
2011-12-26 10:40:07 Notice: Notice (8): Undefined index:  Subject in [/home/httpd/vhosts/h8si.com.br/httpdocs/clientes/mediaclipping/app/views/elements/email/text/clipp.ctp, line 9]
2011-12-26 10:40:07 Notice: Notice (8): Undefined index:  Clipp in [/home/httpd/vhosts/h8si.com.br/httpdocs/clientes/mediaclipping/app/views/elements/email/text/clipp.ctp, line 10]
2011-12-26 10:40:07 Notice: Notice (8): Undefined index:  Clipp in [/home/httpd/vhosts/h8si.com.br/httpdocs/clientes/mediaclipping/app/plugins/clipping/controllers/clipps_controller.php, line 374]
2011-12-26 10:47:00 Notice: Notice (8): Undefined index:  Clipp in [/home/httpd/vhosts/h8si.com.br/httpdocs/clientes/mediaclipping/app/views/elements/email/text/clipp.ctp, line 1]
2011-12-26 10:47:00 Notice: Notice (8): Undefined index:  Clipp in [/home/httpd/vhosts/h8si.com.br/httpdocs/clientes/mediaclipping/app/views/elements/email/text/clipp.ctp, line 2]
2011-12-26 10:47:00 Notice: Notice (8): Undefined index:  Clipp in [/home/httpd/vhosts/h8si.com.br/httpdocs/clientes/mediaclipping/app/views/elements/email/text/clipp.ctp, line 3]
2011-12-26 10:47:00 Notice: Notice (8): Undefined index:  Evaluation in [/home/httpd/vhosts/h8si.com.br/httpdocs/clientes/mediaclipping/app/views/elements/email/text/clipp.ctp, line 4]
2011-12-26 10:47:00 Notice: Notice (8): Undefined index:  Status in [/home/httpd/vhosts/h8si.com.br/httpdocs/clientes/mediaclipping/app/views/elements/email/text/clipp.ctp, line 5]
2011-12-26 10:47:00 Notice: Notice (8): Undefined index:  PublisherType in [/home/httpd/vhosts/h8si.com.br/httpdocs/clientes/mediaclipping/app/views/elements/email/text/clipp.ctp, line 6]
2011-12-26 10:47:00 Notice: Notice (8): Undefined index:  Publisher in [/home/httpd/vhosts/h8si.com.br/httpdocs/clientes/mediaclipping/app/views/elements/email/text/clipp.ctp, line 7]
2011-12-26 10:47:00 Notice: Notice (8): Undefined index:  Section in [/home/httpd/vhosts/h8si.com.br/httpdocs/clientes/mediaclipping/app/views/elements/email/text/clipp.ctp, line 8]
2011-12-26 10:47:00 Notice: Notice (8): Undefined index:  Subject in [/home/httpd/vhosts/h8si.com.br/httpdocs/clientes/mediaclipping/app/views/elements/email/text/clipp.ctp, line 9]
2011-12-26 10:47:00 Notice: Notice (8): Undefined index:  Clipp in [/home/httpd/vhosts/h8si.com.br/httpdocs/clientes/mediaclipping/app/views/elements/email/text/clipp.ctp, line 10]
2011-12-26 10:47:00 Notice: Notice (8): Undefined index:  Clipp in [/home/httpd/vhosts/h8si.com.br/httpdocs/clientes/mediaclipping/app/plugins/clipping/controllers/clipps_controller.php, line 375]
2011-12-26 11:00:30 Notice: Notice (8): Undefined index:  Clipp in [/home/httpd/vhosts/h8si.com.br/httpdocs/clientes/mediaclipping/app/views/elements/email/text/clipp.ctp, line 1]
